,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
"Nawiliwili, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,8,12,17,23,31,42,57,75,94,115,138,163,189,213,237,259,288,313,333,347,356,361,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Honolulu, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,9,12,16,21,28,36,49,65,83,103,125,150,176,202,227,251,283,311,333,347,357,362,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Mokuoloe, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,6,9,12,16,22,28,37,49,64,81,101,123,146,171,197,221,246,279,308,330,346,356,362,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Kahului, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,8,12,17,23,30,38,48,64,82,103,127,151,175,200,225,248,270,299,322,339,351,358,362,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Kawaihae, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,7,12,18,28,40,55,72,93,115,139,165,201,236,267,294,317,335,349,357,362,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Hilo, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,6,9,13,17,23,30,38,47,63,81,102,126,152,179,206,231,255,277,303,325,341,352,358,362,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
Midway Island,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,5,5,6,7,8,9,11,14,17,21,26,34,44,56,73,101,134,168,203,237,270,297,320,337,349,358,362,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Apra Harbor, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,6,8,12,18,24,32,41,51,64,82,103,126,151,175,199,223,247,268,286,311,328,339,347,354,358,361,363,364,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Pago Pago, American Samoa ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,7,11,17,25,35,47,61,76,99,125,155,189,224,259,290,314,332,344,354,360,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
Kwajalein Island,1,1,1,1,2,3,3,4,5,6,8,9,11,13,15,18,21,24,27,30,34,40,46,52,59,66,74,82,90,98,107,118,130,141,152,163,173,182,192,201,210,223,236,248,261,274,287,299,311,322,332,343,351,357,361,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
Wake Island,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,5,6,8,10,13,18,23,29,36,43,52,62,76,92,109,127,145,163,181,199,217,234,260,284,306,323,337,346,353,358,361,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Bar Harbor, ME",6,7,8,10,11,13,14,16,18,21,23,25,28,31,33,36,39,42,45,48,52,56,61,67,72,78,84,90,97,104,112,122,132,144,156,168,181,194,207,220,233,249,263,277,290,302,313,323,331,339,345,351,355,359,361,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Portland, ME",5,6,7,8,9,11,12,14,15,17,19,21,23,25,27,30,32,35,38,40,43,48,53,58,63,68,74,81,87,94,101,112,123,135,148,161,174,188,203,217,231,248,264,279,292,305,316,326,334,341,347,352,357,360,362,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Boston, MA",7,8,9,10,11,13,14,16,18,20,23,25,27,30,33,36,39,42,45,48,52,56,61,66,72,78,84,90,97,105,112,123,135,147,160,173,187,201,215,229,243,259,274,287,300,311,321,329,337,343,348,354,358,360,362,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Woods Hole, MA",2,2,2,3,3,4,4,5,6,7,8,9,11,12,14,16,18,21,25,29,33,41,51,62,74,87,101,116,133,151,170,194,218,242,263,282,299,313,324,333,341,348,353,357,360,362,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Nantucket Island, MA",2,2,2,2,3,3,3,4,4,5,5,6,7,8,10,12,14,17,20,24,28,35,43,52,63,76,90,106,123,141,160,184,210,235,259,281,300,315,327,336,344,351,357,360,362,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Newport, RI",2,2,3,4,4,5,6,7,8,10,12,13,15,17,20,23,26,29,32,36,41,48,56,64,74,84,95,106,118,130,143,161,180,200,219,239,257,275,290,304,316,327,336,343,349,353,357,359,361,362,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Providence, RI",3,4,4,5,6,7,8,9,10,12,14,16,18,20,23,25,28,32,35,39,43,49,56,63,71,80,89,99,109,120,132,147,162,178,194,211,228,244,260,275,289,304,316,327,335,342,348,353,356,359,361,362,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"New London, CT",2,2,3,3,3,4,4,5,6,6,7,8,9,11,12,14,16,19,21,25,28,35,43,52,63,75,89,104,121,139,157,181,206,229,251,270,287,301,313,324,332,340,347,352,355,358,360,361,362,363,364,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Bridgeport, CT",4,4,4,5,6,6,7,8,9,11,12,14,15,18,20,23,26,29,32,36,40,46,53,60,68,77,86,96,106,117,129,144,160,177,194,211,227,243,258,272,284,296,306,315,323,330,336,340,344,348,351,354,357,359,361,362,363,363,364,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Montauk, NY",3,3,3,4,4,5,5,6,7,8,9,11,12,14,16,18,21,25,29,33,39,47,58,70,83,97,113,131,150,170,190,215,239,260,279,296,310,322,331,339,345,350,354,357,360,361,362,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Kings Point, NY",6,6,7,8,9,10,11,12,13,15,16,18,20,22,25,27,30,33,37,40,44,50,57,64,72,81,90,100,110,121,131,145,160,175,191,207,222,237,252,265,278,290,302,312,321,328,334,339,343,347,350,354,357,359,360,362,362,363,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"The Battery, NY",5,6,6,7,8,9,10,11,12,14,16,18,20,23,26,30,33,38,42,47,52,61,70,79,90,101,113,125,138,151,165,182,200,217,234,250,265,280,292,303,312,322,330,336,342,346,350,353,355,357,358,360,362,363,364,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Bergen Point, NY",4,5,5,6,7,8,9,10,11,13,14,16,18,21,23,26,29,32,36,40,44,52,60,68,78,89,100,112,124,138,151,168,184,201,217,233,248,263,277,289,300,312,322,330,337,343,347,350,354,356,358,360,362,363,363,364,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Sandy Hook, NJ",5,6,7,8,9,10,11,13,15,17,19,22,25,28,31,35,39,44,48,53,59,67,76,86,97,108,120,132,146,159,173,191,209,227,244,261,277,290,303,313,322,330,337,342,347,350,353,356,358,359,361,362,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Atlantic City, NJ",5,5,6,6,7,8,9,10,12,13,15,17,20,22,25,29,32,36,41,45,50,58,66,75,85,95,107,118,131,144,158,176,194,211,228,244,259,273,286,298,309,320,329,336,342,347,350,353,356,358,360,361,362,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Cape May, NJ",3,3,4,4,5,6,6,7,9,10,12,14,16,18,20,23,27,30,34,38,42,50,58,67,77,88,100,112,125,139,154,171,188,205,221,237,252,266,280,292,303,315,325,333,340,345,349,353,355,358,359,361,362,363,364,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
