,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
"Nawiliwili, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,7,10,13,17,24,34,47,61,77,95,114,135,157,180,208,235,261,285,307,325,339,349,356,360,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Honolulu, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,7,9,11,14,18,25,35,47,60,76,93,112,134,157,180,209,237,264,288,309,327,341,350,357,361,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Mokuoloe, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,7,9,11,15,19,26,34,45,56,70,85,103,122,142,163,193,222,251,278,302,322,337,349,356,361,363,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Kahului, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,8,11,15,20,26,36,48,62,79,97,118,140,162,184,207,234,260,285,306,324,338,348,355,360,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Kawaihae, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,9,14,20,29,40,53,68,85,103,128,154,182,210,237,261,284,303,320,334,347,356,361,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Hilo, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,6,9,12,15,20,25,32,42,55,70,86,105,126,148,172,196,219,244,268,289,308,324,337,347,354,358,362,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
Midway Island,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,5,6,7,9,10,12,14,17,21,26,32,40,53,71,93,119,147,176,204,233,260,285,311,331,345,355,360,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Apra Harbor, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,7,10,14,19,26,33,45,58,74,93,115,137,160,183,206,229,259,284,305,320,331,339,346,351,355,359,361,363,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Pago Pago, American Samoa ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,9,13,19,25,33,45,59,76,94,115,138,163,191,220,249,282,309,329,343,352,358,361,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
Kwajalein Island,1,1,1,1,2,3,3,4,5,6,8,9,11,13,15,17,19,22,25,28,31,35,40,45,51,56,63,69,76,83,90,99,109,119,129,138,148,157,166,174,182,193,203,213,223,233,243,253,263,273,283,297,309,321,332,341,349,355,359,361,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
Wake Island,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,5,6,8,10,13,16,20,25,30,37,43,55,67,81,95,111,127,143,159,176,192,213,234,255,274,292,308,322,333,342,348,354,358,361,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Bar Harbor, ME",6,7,8,9,11,12,14,15,17,19,21,24,26,28,31,33,36,38,41,44,47,51,55,60,65,69,75,80,85,91,97,105,114,123,132,142,153,164,175,186,198,211,224,237,250,262,273,284,294,303,312,321,329,336,342,348,352,356,358,360,362,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Portland, ME",5,6,7,8,9,10,12,13,14,16,18,19,21,23,25,27,29,31,34,36,39,43,47,51,55,60,65,70,75,81,86,95,104,113,123,134,145,156,168,180,193,207,220,234,247,260,273,284,295,305,314,323,331,338,344,349,353,357,359,361,362,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Boston, MA",7,7,9,10,11,12,14,15,17,19,21,23,25,28,30,33,35,38,41,44,47,51,55,59,64,69,74,79,84,90,96,105,115,125,135,146,157,169,180,193,205,219,233,246,259,271,282,292,302,311,319,328,335,342,347,352,356,359,361,362,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Woods Hole, MA",2,2,2,3,3,4,4,5,5,6,7,8,10,11,13,15,18,21,24,28,33,40,47,55,64,74,85,96,108,121,135,154,174,194,215,235,254,271,286,300,312,324,333,341,347,352,356,359,361,362,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
