,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
"Nawiliwili, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,6,8,10,12,15,18,23,28,34,40,48,56,66,76,87,98,110,123,137,151,166,180,198,215,232,249,264,280,294,307,318,329,337,345,350,355,358,360,362,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Honolulu, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,7,9,11,14,17,21,26,32,38,46,54,63,73,84,95,107,120,134,148,163,178,192,211,228,245,261,277,292,305,317,328,336,344,350,354,358,361,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Mokuoloe, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,5,6,7,9,11,13,16,20,24,29,35,41,48,55,64,75,86,99,112,126,141,156,171,187,205,222,240,257,273,288,302,314,325,334,342,349,354,357,360,362,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Kahului, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,5,6,8,10,12,15,19,24,30,37,44,53,63,73,85,97,111,124,139,153,167,182,197,211,226,240,255,270,285,298,310,321,330,338,345,350,354,358,360,362,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Kawaihae, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,7,10,13,16,20,25,31,39,47,56,66,77,89,102,115,129,143,161,179,197,215,232,248,263,278,291,303,315,325,333,341,347,352,356,359,361,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Hilo, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,5,6,8,10,12,14,17,20,23,29,34,41,49,57,66,76,86,98,110,123,136,151,165,180,195,209,223,236,249,265,279,292,304,315,325,333,341,346,351,355,358,361,362,363,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
Midway Island,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5,6,6,7,8,9,10,11,12,14,15,17,19,23,27,32,39,46,56,67,80,94,111,131,152,173,194,215,236,256,275,292,307,320,332,341,349,354,358,361,362,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Apra Harbor, Guam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,6,8,11,14,19,24,30,36,44,52,62,72,84,101,118,137,156,175,194,213,231,249,265,280,293,305,314,322,329,334,339,343,346,350,353,356,358,360,361,362,363,363,364,364,364,364,364,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
"Pago Pago, American Samoa ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,6,8,11,14,18,23,28,34,40,48,55,65,76,88,101,115,129,145,162,180,199,219,240,259,277,293,307,319,329,338,344,350,354,358,360,362,363,364,365,365,365,365,365,365,365,365,365,365,365,365,365
Kwajalein Island,1,1,1,1,1,1,2,2,2,2,3,3,4,4,5,6,7,8,9,10,11,12,14,15,17,19,21,23,26,28,31,34,37,40,44,48,51,56,60,64,68,74,80,86,92,98,104,111,117,124,130,137,144,152,158,165,172,178,184,191,197,204,210,217,224,231,237,244,251,258,265,272,280,287,294,301,308,314,321,327,332,338,343,347,351,354,356,359,360,362,363,363,364,364,365,365,365,365,365,365,365
